UZAName,Year,VRH,Category
"Bay City, MI",2014,76740,Non-Rail
"Bay City, MI",2015,77868,Non-Rail
"Bay City, MI",2016,77628,Non-Rail
"Bay City, MI",2017,73899,Non-Rail
"Bay City, MI",2018,74131,Non-Rail
"Bay City, MI",2019,69851,Non-Rail
"Bay City, MI",2020,40294,Non-Rail
"Bay City, MI",2021,8086,Non-Rail
"Beaumont, TX",2011,63167,Non-Rail
"Beaumont, TX",2012,60557,Non-Rail
"Beaumont, TX",2013,60782,Non-Rail
"Beaumont, TX",2014,60438,Non-Rail
"Beaumont, TX",2015,60724,Non-Rail
"Beaumont, TX",2016,60434,Non-Rail
"Beaumont, TX",2017,58860,Non-Rail
"Beaumont, TX",2018,63141,Non-Rail
"Beaumont, TX",2019,62496,Non-Rail
"Beaumont, TX",2020,61075,Non-Rail
"Beaumont, TX",2021,14666,Non-Rail
"Bellingham, WA",2011,191076,Non-Rail
"Bellingham, WA",2012,197556,Non-Rail
"Bellingham, WA",2013,200065,Non-Rail
"Bellingham, WA",2014,201617,Non-Rail
"Bellingham, WA",2015,203401,Non-Rail
"Bellingham, WA",2016,205378,Non-Rail
"Bellingham, WA",2017,220500,Non-Rail
"Bellingham, WA",2018,229248,Non-Rail
"Bellingham, WA",2019,233672,Non-Rail
"Bellingham, WA",2020,178050,Non-Rail
"Bellingham, WA",2021,44265,Non-Rail
"Beloit, WI-IL",2011,21774,Non-Rail
"Bend, OR",2011,36523,Non-Rail
"Bend, OR",2012,36087,Non-Rail
"Bend, OR",2013,65159,Non-Rail
"Bend, OR",2014,61091,Non-Rail
"Bend, OR",2015,64692,Non-Rail
"Bend, OR",2016,79418,Non-Rail
"Bend, OR",2017,85921,Non-Rail
"Bend, OR",2018,82439,Non-Rail
"Bend, OR",2019,78001,Non-Rail
"Bend, OR",2020,59993,Non-Rail
"Bend, OR",2021,17465,Non-Rail
"Benton Harbor-St. Joseph-Fair Plain, MI",2011,46480,Non-Rail
"Billings, MT",2011,54152,Non-Rail
"Billings, MT",2012,56380,Non-Rail
"Billings, MT",2013,54417,Non-Rail
"Billings, MT",2014,51264,Non-Rail
"Billings, MT",2015,50732,Non-Rail
"Billings, MT",2016,49430,Non-Rail
"Billings, MT",2017,49159,Non-Rail
"Billings, MT",2018,53029,Non-Rail
"Billings, MT",2019,53862,Non-Rail
"Billings, MT",2020,49147,Non-Rail
"Billings, MT",2021,12499,Non-Rail
"Binghamton, NY-PA",2011,166413,Non-Rail
"Binghamton, NY-PA",2012,170898,Non-Rail
"Binghamton, NY-PA",2013,138508,Non-Rail
"Binghamton, NY-PA",2014,138049,Non-Rail
"Binghamton, NY-PA",2015,139846,Non-Rail
"Binghamton, NY-PA",2016,139364,Non-Rail
"Binghamton, NY-PA",2017,136971,Non-Rail
"Binghamton, NY-PA",2018,134883,Non-Rail
"Binghamton, NY-PA",2019,131707,Non-Rail
"Binghamton, NY-PA",2020,116683,Non-Rail
"Binghamton, NY-PA",2021,29206,Non-Rail
"Birmingham, AL",2011,292410,Non-Rail
"Birmingham, AL",2012,287945,Non-Rail
"Birmingham, AL",2013,304855,Non-Rail
"Birmingham, AL",2014,316050,Non-Rail
"Birmingham, AL",2015,299433,Non-Rail
"Birmingham, AL",2016,301343,Non-Rail
"Birmingham, AL",2017,290681,Non-Rail
"Birmingham, AL",2018,302175,Non-Rail
"Birmingham, AL",2019,299205,Non-Rail
"Birmingham, AL",2020,208882,Non-Rail
"Birmingham, AL",2021,48959,Non-Rail
"Bismarck, ND",2011,66844,Non-Rail
"Bismarck, ND",2012,64653,Non-Rail
"Bismarck, ND",2013,64432,Non-Rail
"Blacksburg, VA",2011,93994,Non-Rail
