UZAName,Year,Average of VOMS,Category
"Buffalo, NY",2013,23.00,Rail
"Buffalo, NY",2014,157.50,Non-Rail
"Buffalo, NY",2014,23.00,Rail
"Buffalo, NY",2015,157.54,Non-Rail
"Buffalo, NY",2015,23.00,Rail
"Buffalo, NY",2016,159.25,Non-Rail
"Buffalo, NY",2016,23.00,Rail
"Buffalo, NY",2017,159.71,Non-Rail
"Buffalo, NY",2017,23.00,Rail
"Buffalo, NY",2018,161.08,Non-Rail
"Buffalo, NY",2018,23.00,Rail
"Buffalo, NY",2019,161.75,Non-Rail
"Buffalo, NY",2019,23.00,Rail
"Buffalo, NY",2020,136.71,Non-Rail
"Buffalo, NY",2020,23.00,Rail
"Buffalo, NY",2021,122.33,Non-Rail
"Buffalo, NY",2021,21.00,Rail
"Burlington, VT",2011,31.50,Non-Rail
"Burlington, VT",2012,23.00,Non-Rail
"Burlington, VT",2013,24.11,Non-Rail
"Burlington, VT",2014,24.67,Non-Rail
"Burlington, VT",2015,24.50,Non-Rail
"Burlington, VT",2016,24.67,Non-Rail
"Burlington, VT",2017,25.50,Non-Rail
"Burlington, VT",2018,37.43,Non-Rail
"Burlington, VT",2019,40.50,Non-Rail
"Burlington, VT",2020,32.96,Non-Rail
"Burlington, VT",2021,31.90,Non-Rail
"Canton, OH",2011,27.71,Non-Rail
"Canton, OH",2012,27.71,Non-Rail
"Canton, OH",2013,28.04,Non-Rail
"Canton, OH",2014,31.17,Non-Rail
"Canton, OH",2015,31.21,Non-Rail
"Canton, OH",2016,31.29,Non-Rail
"Canton, OH",2017,31.92,Non-Rail
"Canton, OH",2018,33.00,Non-Rail
"Canton, OH",2019,33.00,Non-Rail
"Canton, OH",2020,33.00,Non-Rail
"Canton, OH",2021,33.00,Non-Rail
"Cape Coral, FL",2011,27.36,Non-Rail
"Cape Coral, FL",2012,28.36,Non-Rail
"Cape Coral, FL",2013,29.17,Non-Rail
"Cape Coral, FL",2014,30.69,Non-Rail
"Cape Coral, FL",2015,30.17,Non-Rail
"Cape Coral, FL",2016,30.58,Non-Rail
"Cape Coral, FL",2017,32.53,Non-Rail
"Cape Coral, FL",2018,33.58,Non-Rail
"Cape Coral, FL",2019,31.28,Non-Rail
"Cape Coral, FL",2020,26.69,Non-Rail
"Cape Coral, FL",2021,35.25,Non-Rail
"Carbondale, IL",2012,98.83,Non-Rail
"Carbondale, IL",2013,98.92,Non-Rail
"Carbondale, IL",2014,110.33,Non-Rail
"Carbondale, IL",2015,114.75,Non-Rail
"Carbondale, IL",2016,79.56,Non-Rail
"Carbondale, IL",2017,67.29,Non-Rail
"Carbondale, IL",2018,71.04,Non-Rail
"Carbondale, IL",2019,71.71,Non-Rail
"Carbondale, IL",2020,50.59,Non-Rail
"Carbondale, IL",2021,14.00,Non-Rail
"Casper, WY",2011,6.75,Non-Rail
"Cedar Rapids, IA",2011,28.00,Non-Rail
"Cedar Rapids, IA",2012,21.88,Non-Rail
"Cedar Rapids, IA",2013,14.42,Non-Rail
"Cedar Rapids, IA",2014,14.58,Non-Rail
"Cedar Rapids, IA",2015,14.46,Non-Rail
"Cedar Rapids, IA",2016,15.79,Non-Rail
"Cedar Rapids, IA",2017,17.46,Non-Rail
"Cedar Rapids, IA",2018,17.75,Non-Rail
